SM_TikTokURL,T_Partei
https://www.tiktok.com/@dielinke.sachsen,Linke
https://www.tiktok.com/@dielinkelsa,Linke
https://www.tiktok.com/@linke.sh,Linke
https://www.tiktok.com/@die_linke_th,Linke
https://www.tiktok.com/@linksjugend.solid,Linke
https://www.tiktok.com/@linksjugend.bayern,Linke
https://www.tiktok.com/@solidberlin,Linke
https://www.tiktok.com/@solid_brandenburg,Linke
https://www.tiktok.com/@linksjugendsolidbremen,Linke
https://www.tiktok.com/@linksjugend.hessen,Linke
https://www.tiktok.com/@linkjugend.rlp,Linke
https://www.tiktok.com/@linksjugendsolidsachsen,Linke
https://www.tiktok.com/@linksjugend_th,Linke
https://www.tiktok.com/@diegruenen,Grüne
https://www.tiktok.com/@diegruenen_bw,Grüne
https://www.tiktok.com/@gruenebayern,Grüne
https://www.tiktok.com/@gruene_berlin,Grüne
https://www.tiktok.com/@gruene_bremen,Grüne
https://www.tiktok.com/@gruenehessen,Grüne
https://www.tiktok.com/@gruenends,Grüne
https://www.tiktok.com/@gruenenrw,Grüne
https://www.tiktok.com/@gruenerlp,Grüne
https://www.tiktok.com/@gruenesachsen,Grüne
https://www.tiktok.com/@gruene_th,Grüne
https://www.tiktok.com/@gruene_jugend,Grüne
https://www.tiktok.com/@gj_bayern,Grüne
https://www.tiktok.com/@gj.berlin,Grüne
https://www.tiktok.com/@gruenebbg,Grüne
https://www.tiktok.com/@gjbremen,Grüne
https://www.tiktok.com/@gruenejugend_hamburg,Grüne
https://www.tiktok.com/@gjhessen,Grüne
https://www.tiktok.com/@gruenejugend_mv,Grüne
https://www.tiktok.com/@gj_niedersachsen,Grüne
https://www.tiktok.com/@gruenejugendnrw,Grüne
https://www.tiktok.com/@gj_rlp,Grüne
https://www.tiktok.com/@gjsaar,Grüne
https://www.tiktok.com/@gruenejugend.sachsen,Grüne
https://www.tiktok.com/@gj_sachsenanhalt,Grüne
https://www.tiktok.com/@gruenejugendsh,Grüne
https://www.tiktok.com/@gruenejugend_thueringen,Grüne
https://www.tiktok.com/@csuauftiktok,CDU/CSU
https://www.tiktok.com/@afd.bund,AfD
https://www.tiktok.com/@afdbayernlv,AfD
https://www.tiktok.com/@berliner.afd,AfD
https://www.tiktok.com/@afd_brandenburg,AfD
https://www.tiktok.com/@afdbremen,AfD
https://www.tiktok.com/@afdhamburg,AfD
https://www.tiktok.com/@afdmvlandesverband,AfD
https://www.tiktok.com/@afd.niedersachsen,AfD
https://www.tiktok.com/@afd.nrw,AfD
https://www.tiktok.com/@afd_rheinland_pfalz,AfD
https://www.tiktok.com/@afdsaarland,AfD
https://www.tiktok.com/@afdsachsen,AfD
https://www.tiktok.com/@afd_schleswig_holstein,AfD
https://www.tiktok.com/@afd.thueringen,AfD
https://www.tiktok.com/@junge_alternative_,AfD
https://www.tiktok.com/@jungealternativebw,AfD
https://www.tiktok.com/@junge_alternativebayern,AfD
https://www.tiktok.com/@ja_brandenburg,AfD
https://www.tiktok.com/@ja.niedersachsen,AfD
https://www.tiktok.com/@jungealternativelsa,AfD
https://www.tiktok.com/@ja.thueringen,AfD
https://www.tiktok.com/@buendnis_sahraw,BSW
https://www.tiktok.com/@bswrlp,BSW
https://www.tiktok.com/@bswsaarland,BSW
https://www.tiktok.com/@bsw.sachsen.partei,BSW
https://www.tiktok.com/@bswsachsenanhalt,BSW
https://www.tiktok.com/@bsw_thueringen,BSW
https://www.tiktok.com/@cducsu,CDU/CSU
